"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
1370,12000,,,1758,04/01/25
3544,12000,,,0,04/01/25
2932,12000,,,0,04/01/25
3407,12000,,,0,04/01/25
1920,12000,,,1579,04/01/25
3542,12000,,,0,04/01/25
1948,12000,,,200,04/01/25
2268,12000,,,4702882,04/01/25
2,12000,,,40,04/01/25
435,12000,,,0,04/01/25
2776,12000,,,36,04/01/25
1788,12000,,,180,04/01/25
963,12000,,,19937987,04/01/25
1352,12000,,,0,04/01/25
2252,12000,,,11189,04/01/25
1158,12000,,,158,04/01/25
3507,12000,,,373,04/01/25
3365,12000,,,339,04/01/25
77,12000,,,20951,04/01/25
779,12000,,,0,04/01/25
2443,12000,,,14505,04/01/25
2853,12000,,,1200,04/01/25
817,12000,,,0,04/01/25
933,12000,,,5,04/01/25
2103,12000,,,4043,04/01/25
2659,12000,,,1930,04/01/25
3463,12000,,,0,04/01/25
588,12000,,,6983,04/01/25
1885,12000,,,48932,04/01/25
1765,12000,,,0,04/01/25
236,12000,,,350,04/01/25
1966,12000,,,4792,04/01/25
354,12000,,,4785936,04/01/25
3099,12000,,,0,04/01/25
2914,12000,,,415,04/01/25
3500,12000,,,6008,04/01/25
1288,12000,,,1240,04/01/25
665,12000,,,4754,04/01/25
1329,12000,,,39313,04/01/25
2929,12000,,,92989,04/01/25
3473,12000,,,90604,04/01/25
3269,12000,,,105843,04/01/25
1052,12000,,,8116,04/01/25
3545,12000,,,1192,04/01/25
1115,12000,,,0,04/01/25
3511,12000,,,0,04/01/25
1399,12000,,,900,04/01/25
170,12000,,,1151380,04/01/25
2868,12000,,,10,04/01/25
3546,12000,,,0,04/01/25
2587,12000,,,1443,04/01/25
2721,12000,,,650,04/01/25
2611,12000,,,33215,04/01/25
3468,12000,,,0,04/01/25
2530,12000,,,0,04/01/25
67,12000,,,1817,04/01/25
3296,12000,,,31,04/01/25
3252,12000,,,8000,04/01/25
2574,12000,,,70,04/01/25
2761,12000,,,0,04/01/25
3450,12000,,,0,04/01/25
1680,12000,,,0,04/01/25
3330,12000,,,150,04/01/25
3095,12000,,,0,04/01/25
2210,12000,,,219265,04/01/25
3077,12000,,,0,04/01/25
3354,12000,,,677646,04/01/25
1829,12000,,,10641,04/01/25
3138,12000,,,52132,04/01/25
356,12000,,,0,04/01/25
481,12000,,,72161,04/01/25
3517,12000,,,0,01/01/25
1747,12000,,,48,04/01/25
212,12000,,,23369,04/01/25
3294,12000,,,0,04/01/25
1810,12000,,,260732,04/01/25
1291,12000,,,0,04/01/25
3515,12000,,,361,04/01/25
2564,12000,,,3688,04/01/25
21,12000,,,600,04/01/25
2402,12000,,,0,04/01/25
3527,12000,,,4947,04/01/25
316,12000,,,827866,04/01/25
2374,12000,,,0,04/01/25
478,12000,,,619,04/01/25
485,12000,,,13769,04/01/25
2650,12000,,,879,04/01/25
3328,12000,,,0,04/01/25
2438,12000,,,1980,04/01/25
2390,12000,,,3801,04/01/25
2830,12000,,,8,04/01/25
3202,12000,,,137,04/01/25
2766,12000,,,260855,04/01/25
3324,12000,,,0,04/01/25
2119,12000,,,48766,04/01/25
2304,12000,,,425,04/01/25
2289,12000,,,0,04/01/25
3124,12000,,,1004,04/01/25
841,12000,,,10679,04/01/25
2584,12000,,,6552,04/01/25
2881,12000,,,893,04/01/25
1745,12000,,,62,04/01/25
3013,12000,,,0,04/01/25
3224,12000,,,0,04/01/25
3466,12000,,,0,04/01/25
101,12000,,,37777,04/01/25
429,12000,,,17641,04/01/25
1557,12000,,,23,04/01/25
1973,12000,,,0,04/01/25
3245,12000,,,3574,04/01/25
2982,12000,,,120,04/01/25
3242,12000,,,0,04/01/25
1978,12000,,,6452988,04/01/25
2755,12000,,,384,04/01/25
2085,12000,,,0,04/01/25
3525,12000,,,0,04/01/25
537,12000,,,1736,04/01/25
2015,12000,,,0,04/01/25
3522,12000,,,0,04/01/25
2559,12000,,,10151,04/01/25
2682,12000,,,3545,04/01/25
1481,12000,,,334757259,04/01/25
685,12000,,,0,04/01/25
650,12000,,,1286438,04/01/25
2772,12000,,,2175,04/01/25
254,12000,,,64310,04/01/25
1949,12000,,,1916,04/01/25
598,12000,,,178,04/01/25
1896,12000,,,1144,04/01/25
567,12000,,,162991,04/01/25
1326,12000,,,41870836,04/01/25
708,12000,,,13349,04/01/25
2168,12000,,,9019977,04/01/25
609,12000,,,96,04/01/25
3396,12000,,,3440,04/01/25
2846,12000,,,0,04/01/25
3490,12000,,,0,04/01/25
3172,12000,,,1225,04/01/25
600,12000,,,30721,04/01/25
3223,12000,,,13725,04/01/25
3184,12000,,,0,04/01/25
3531,12000,,,3242,04/01/25
2860,12000,,,4810,04/01/25
2726,12000,,,0,04/01/25
3552,12000,,,0,04/01/25
3341,12000,,,0,04/01/25
2722,12000,,,371,04/01/25
1354,12000,,,3009956,04/01/25
1143,12000,,,0,04/01/25
2618,12000,,,5891,04/01/25
493,12000,,,3478,04/01/25
3176,12000,,,0,04/01/25
2796,12000,,,0,04/01/25
1927,12000,,,9671,04/01/25
903,12000,,,2523,04/01/25
3467,12000,,,0,04/01/25
783,12000,,,1522,04/01/25
3166,12000,,,0,04/01/25
2507,12000,,,0,04/01/25
444,12000,,,29,04/01/25
3539,12000,,,0,04/01/25
3529,12000,,,1360,04/01/25
2733,12000,,,165957,04/01/25
3470,12000,,,21400,04/01/25
3446,12000,,,0,04/01/25
3279,12000,,,0,04/01/25
3388,12000,,,45143,04/01/25
2900,12000,,,10724,04/01/25
1809,12000,,,300,04/01/25
3550,12000,,,0,04/01/25
705,12000,,,112396,04/01/25
2065,12000,,,2017,04/01/25
2490,12000,,,5702,04/01/25
2070,12000,,,0,04/01/25
3306,12000,,,0,04/01/25
2499,12000,,,0,04/01/25
3523,12000,,,0,04/01/25
2551,12000,,,20032,04/01/25
695,12000,,,135,04/01/25
2602,12000,,,35672,04/01/25
2170,12000,,,37000,04/01/25
1114,12000,,,80,04/01/25
2557,12000,,,961,04/01/25
3520,12000,,,0,04/01/25
3518,12000,,,0,04/01/25
2799,12000,,,0,04/01/25
1281,12000,,,0,04/01/25
2506,12000,,,4923,04/01/25
3421,12000,,,6446,04/01/25
990,12000,,,187,04/01/25
1573,12000,,,30704,04/01/25
3390,12000,,,0,04/01/25
2275,12000,,,1314333,04/01/25
3311,12000,,,28710,04/01/25
2507,13000,,,0,04/01/25
3293,13000,,,0,04/01/25
3027,13000,,,0,04/01/25
438,13000,,,8734,04/01/25
3510,13000,,,0,04/01/25
2210,13000,,,149054,04/01/25
857,13000,,,12,04/01/25
3013,13000,,,0,04/01/25
1370,13000,,,0,04/01/25
1885,13000,,,3015,04/01/25
2499,13000,,,0,04/01/25
478,13000,,,673,04/01/25
2495,13000,,,340,04/01/25
1973,13000,,,30,04/01/25
2534,13000,,,0,04/01/25
3340,13000,,,60072,04/01/25
3490,13000,,,0,04/01/25
3550,13000,,,0,04/01/25
3235,13000,,,0,04/01/25
1000,13000,,,14541238,04/01/25
236,13000,,,0,04/01/25
2312,13000,,,502416,04/01/25
1481,13000,,,133420122,04/01/25
1288,13000,,,9199,04/01/25
3161,13000,,,104,04/01/25
254,13000,,,15975,04/01/25
2438,13000,,,886,04/01/25
538,13000,,,0,04/01/25
1927,13000,,,0,04/01/25
2407,13000,,,177,04/01/25
875,13000,,,0,04/01/25
2494,13000,,,0,04/01/25
1281,13000,,,305,04/01/25
2932,13000,,,0,04/01/25
3465,13000,,,546,04/01/25
2034,13000,,,0,04/01/25
1352,13000,,,126,04/01/25
2761,13000,,,0,04/01/25
1680,13000,,,0,04/01/25
3017,13000,,,595,04/01/25
3479,13000,,,171,04/01/25
212,13000,,,691480,04/01/25
3245,13000,,,0,04/01/25
2846,13000,,,0,04/01/25
1978,13000,,,1543567,04/01/25
2748,13000,,,298303,04/01/25
2998,13000,,,39039,04/01/25
1307,13000,,,6530,04/01/25
21,13000,,,203,04/01/25
316,13000,,,763,04/01/25
575,13000,,,0,04/01/25
2559,13000,,,0,04/01/25
2982,13000,,,0,04/01/25
1659,13000,,,0,04/01/25
3116,13000,,,0,04/01/25
3544,13000,,,0,04/01/25
121,13000,,,49395,04/01/25
3523,13000,,,0,04/01/25
1067,13000,,,1047,04/01/25
600,13000,,,18358,04/01/25
1329,13000,,,92,04/01/25
2602,13000,,,2693,04/01/25
3292,13000,,,279516,04/01/25
3176,13000,,,0,04/01/25
2799,13000,,,4,04/01/25
965,13000,,,0,04/01/25
903,13000,,,398,04/01/25
2307,13000,,,381,04/01/25
480,13000,,,120,04/01/25
3296,13000,,,2196,04/01/25
3298,13000,,,0,04/01/25
2252,13000,,,0,04/01/25
2611,13000,,,0,04/01/25
2506,13000,,,24,04/01/25
1920,13000,,,1597,04/01/25
2304,13000,,,262562,04/01/25
990,13000,,,1265,04/01/25
2530,13000,,,0,04/01/25
2289,13000,,,193394,04/01/25
2838,13000,,,0,04/01/25
3257,13000,,,0,04/01/25
3231,13000,,,0,04/01/25
1788,13000,,,329,04/01/25
3494,13000,,,0,04/01/25
1745,13000,,,0,04/01/25
3517,13000,,,0,01/01/25
101,13000,,,97,04/01/25
902,13000,,,0,04/01/25
1312,13000,,,75,04/01/25
646,13000,,,0,04/01/25
3482,13000,,,0,04/01/25
2659,13000,,,0,04/01/25
3463,13000,,,0,04/01/25
705,13000,,,3386,04/01/25
537,13000,,,0,04/01/25
2551,13000,,,0,04/01/25
256,13000,,,0,04/01/25
3512,13000,,,0,04/01/25
3543,13000,,,0,04/01/25
3500,13000,,,4268,04/01/25
2216,13000,,,62658,04/01/25
1,13000,,,55289,04/01/25
3531,13000,,,150110,04/01/25
53,13000,,,1571,04/01/25
650,13000,,,55684,04/01/25
3247,13000,,,0,04/01/25
3538,13000,,,0,04/01/25
3552,13000,,,0,04/01/25
2390,13000,,,0,04/01/25
1115,13000,,,1691,04/01/25
3194,13000,,,10269,04/01/25
1399,13000,,,0,04/01/25
2170,13000,,,203,04/01/25
1151,13000,,,0,04/01/25
3467,13000,,,0,04/01/25
3324,13000,,,0,04/01/25
2,13000,,,1064,04/01/25
1637,13000,,,332068,04/01/25
3337,13000,,,0,04/01/25
3539,13000,,,0,04/01/25
2733,13000,,,0,04/01/25
3452,13000,,,0,04/01/25
2776,13000,,,1169,04/01/25
2877,13000,,,0,04/01/25
3279,13000,,,0,04/01/25
3077,13000,,,59,04/01/25
2881,13000,,,0,04/01/25
3470,13000,,,0,04/01/25
3001,13000,,,2382,04/01/25
3507,13000,,,30,04/01/25
702,13000,,,119,04/01/25
481,13000,,,102,04/01/25
3466,13000,,,0,04/01/25
609,13000,,,0,04/01/25
3349,13000,,,3448836,04/01/25
588,13000,,,935007,04/01/25
3172,13000,,,0,04/01/25
2245,13000,,,0,04/01/25
2568,13000,,,0,04/01/25
2673,13000,,,2169644,04/01/25
2763,13000,,,0,04/01/25
1720,13000,,,4609,04/01/25
3341,13000,,,0,04/01/25
1114,13000,,,0,04/01/25
3395,13000,,,513,04/01/25
2707,13000,,,208966,04/01/25
