"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0","DT,D"
558,25303,5266,01/01/16
558,26000,4849645,01/01/16
558,26100,826139,01/01/16
558,26101,648235,01/01/16
558,26102,175652,01/01/16
558,26103,0,01/01/16
558,26104,2252,01/01/16
558,26200,72031,01/01/16
558,26201,72020,01/01/16
558,26202,0,01/01/16
558,26203,11,01/01/16
558,26204,0,01/01/16
558,26300,3621568,01/01/16
558,26301,8428,01/01/16
558,26302,68243,01/01/16
558,26303,170568,01/01/16
558,26304,57546,01/01/16
558,26305,20554,01/01/16
558,26306,0,01/01/16
558,26307,3296229,01/01/16
558,26400,329907,01/01/16
558,26401,55,01/01/16
558,26402,4847,01/01/16
558,26403,35656,01/01/16
558,26404,16565,01/01/16
558,26405,1137,01/01/16
558,26406,45992,01/01/16
558,26407,3470,01/01/16
558,26408,600,01/01/16
558,26409,0,01/01/16
558,26410,84882,01/01/16
558,26411,123098,01/01/16
558,26412,13605,01/01/16
558,27000,24494,01/01/16
558,27100,79,01/01/16
558,27101,10,01/01/16
558,27102,0,01/01/16
558,27103,69,01/01/16
558,27200,15061,01/01/16
558,27201,0,01/01/16
558,27202,11248,01/01/16
558,27203,3813,01/01/16
558,27300,9354,01/01/16
558,27301,318,01/01/16
558,27302,0,01/01/16
558,27303,0,01/01/16
558,27304,3,01/01/16
558,27305,1300,01/01/16
558,27306,218,01/01/16
558,27307,0,01/01/16
558,27308,7515,01/01/16
558,27309,0,01/01/16
558,28000,0,01/01/16
558,28101,0,01/01/16
558,28102,0,01/01/16
558,28103,0,01/01/16
558,28201,0,01/01/16
558,28202,0,01/01/16
558,31001,0,01/01/16
558,31002,2656865,01/01/16
558,32001,0,01/01/16
