"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254"
185,120,17200,Итого по символам 17201-17203
186,20,,"3. Другие  доходы, относимые к прочим"
187,10,17301, От безвозмездно полученного имущества
188,10,17302," Поступления в возмещение причененных убытков, в том числе страховое возмещение от страховщиков"
189,10,, От оприходования излишков:
190,10,17303, материальных ценностей
191,10,17304, денежной наличности
192,10,17305, От списания обязательств и невостребованной кредиторской задолженности
193,10,17306, Другие доходы
194,10,17307, в том числе: от восстановления сумм резервов по условным обязательствам некредитного характера
195,120,17300,Итого по символам 17301-17306
196,130,17000,Итого по разделу 7
197,140,10003,"Итого по группе доходов В ""Прочие доходы""(раздел 7)"
198,150,10000,"Всего по Главе I ""Доходы""(разделы 1-7)"
199,50,,Глава II. РАСХОДЫ
200,40,,А. По банковским операциям и другим сделкам
201,30,,Раздел 1. Процентные расходы
202,20,,1. По полученным кредитам от:
203,10,21101, Банка России
204,10,21102, Кредитных организаций
205,10,21103, Банков-нерезидентов
206,10,21104, Других кредиторов
207,120,21100,Итого по символам 21101-21104
208,20,,2. По денежным средствам на банковских счетах клиентов-юридических лиц
209,10,21201," Финансовых организаций, находящихся в федеральной собственности"
210,10,21202," Коммерческих организаций, находящихся в федеральной собственности"
211,10,21203," Некоммерческих организаций, находящихся в федеральной собственности"
212,10,21204," Финансовых организаций, находящихся в государственной (кроме федеральной) собственности"
213,10,21205," Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
214,10,21206," Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
215,10,21207, Негосударственных финансовых организаций
216,10,21208, Негосударственных коммерческих организаций
217,10,21209, Негосударственных некоммерческих организаций
218,10,21210, Кредитных организаций
219,10,21211, Банков-нерезидентов
220,10,21212, Индивидуальных предпринимателей
221,10,21213, Индивидуальных предпринимателей-нерезидентов
222,10,21214, Юридических лиц-нерезидентов
223,120,21200,Итого по символам 21201-21214
224,20,,3. По депозитам юридических лиц
225,10,21301, Минфина России
226,10,21302, Финансовых органов субъектов Российской Федерации и органов местного самоуправления
227,10,21303, Государственных внебюджетных фондов Российской Федерации
228,10,21304, Внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления
229,10,21305," Финансовых организаций, находящихся в федеральной собственности"
230,10,21306," Коммерческих организаций, находящихся в федеральной собственности"
231,10,21307," Некоммерческих организаций, находящихся в федеральной собственности"
232,10,21308," Финансовых организаций, находящихся в государственной (кроме федеральной) собственности"
233,10,21309," Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
234,10,21310," Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
235,10,21311, Негосударственных финансовых организаций
236,10,21312, Негосударственных  коммерческих организаций
237,10,21313, Негосударственных некоммерческих организаций
238,10,21314, Юридических лиц - нерезидентов
239,10,21315, Кредитных организаций
240,10,21316, Банков-нерезидентов
241,10,21317, Банка России
242,120,21300,Итого по символам 21301-21317
243,20,,4. По прочим привлеченным средствам юридических лиц
244,10,21401, Минфина России
245,10,21402, Финансовых органов субъектов Российской Федерации и органов местного самоуправления
246,10,21403, Государственных внебюджетных фондов Российской Федерации
247,10,21404, Внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления
248,10,21405," Финансовых организаций, находящихся в федеральной собственности"
249,10,21406," Коммерческих организаций, находящихся в федеральной собственности"
250,10,21407," Некоммерческих организаций, находящихся в федеральной собственности"
251,10,21408," Финансовых организаций, находящихся в государственной (кроме федеральной) собственности"
252,10,21409," Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
253,10,21410," Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
254,10,21411, Негосударственных финансовых организаций
255,10,21412, Негосударственных коммерческих организаций
256,10,21413, Негосударственных некоммерческих организаций
257,10,21414, Юридических лиц - нерезидентов
258,10,21415, Кредитных организаций
259,10,21416, Банков-нерезидентов
260,10,21417, Банка России
261,120,21400,Итого по символам 21401-21417
262,20,,5. По денежным средствам на банковских счетах клиентов - физических лиц
263,10,21501, Граждан Российской Федерации
264,10,21502, Нерезидентов
265,120,21500,Итого по символам 21501-21502
266,20,,6. По депозитам клиентов - физических лиц
267,10,21601, Граждан Российской Федерации
268,10,21602, Нерезидентов
269,120,21600,Итого по символам 21601-21602
270,20,,7. По прочим привлеченным средствам клиентов - физических лиц
271,10,21701, Граждан Российской Федерации
272,10,21702, Нерезидентов
273,120,21700,Итого по символам 21701-21702
274,20,,8. По выпущенным долговым обязательствам
275,10,21801, По облигациям
276,10,21802, По депозитным сертификатам
277,10,21803, По сберегательным сертификатам
278,10,21804, По векселям
279,120,21800,Итого по символам 21801-21804
280,130,21000,Итого по разделу 1
281,30,,Раздел 2. Другие расходы по банковским операциям и другим сделкам
282,20,,1. Расходы по купле-продаже иностранной валюты в наличной и безналичной формах
283,10,22101, Расходы по купле-продаже иностранной валюты в наличной и безналичной формах
284,120,22100,Итого по символу 22101
285,20,,2. Расходы по проведению других сделок
286,10,22201, Погашению и реализации приобретенных прав требования
287,10,22202, Доверительному управлению имуществом
288,10,22203, Операциям с драгоценными металлами и драгоценными камнями
289,120,22200,Итого по символам 22201-22203
290,130,22000,Итого по разделу 2
291,140,20001,"Итого по группе расходов А ""От банковских операций и других сделок"" (разделы 1-2)"
292,40,,Б. Операционные расходы
293,30,,Раздел 3. Расходы по операциям с ценными бумагами кроме процентов и переоценки
294,20,,1.Расходы по операциям с приобретенными ценными бумагами
295,10,23101, Российской Федерации
296,10,23102, Субъектов Российской Федерации и органов местного самоуправления
297,10,23103, Банка России
298,10,23104, Кредитных организаций
299,10,23105, Прочих ценных бумаг
300,10,23106, Иностранных государств
301,10,23107, Банков-нерезидентов
302,10,23108, Прочих ценных бумаг нерезидентов
303,10,23109," Расходы профессиональных участников рынка ценных бумаг, связанные с приобретением и реализацией ценных бумаг (кроме расходов на консультационные и информационные услуги)"
304,120,23100,Итого по символам 23101- 23109
305,20,,2. Расходы по операциям с выпущенными ценными бумагами
306,10,23201, Расходы по операциям с выпущенными ценными бумагами
307,120,23200,Итого по символу 23201
308,130,23000,Итого по разделу 3
309,30,,Раздел 4. Отрицательная переоценка
310,20,,"1. Отрицательная переоценка ценных бумаг, средств в иностранной валюте, драгоценных металлов"
311,10,24101," Ценных бумаг (балансовый счет №70607, при составлении годового отчета - балансовый счет №70707)"
312,10,24102," Средств в иностранной валюте (балансовый счет №70608, при составлении годового отчета - балансовый счет №70708)"
313,10,24103," Драгоценных металлов (балансовый счет №70609, при составлении годового отчета - балансовый счет №70709)"
314,120,24100,Итого по символам 24101 - 24103
315,20,,"2.Расходы от применения встроенных производных инструментов, не отделяемых от основного договора (балансовый счет №70610, при составлении годового отчета - балансовый счет №70710):"
316,10,24201, От изменения курса ценной бумаги
317,10,24202, От изменения валютного курса
318,10,24203, От изменения индекса цен
319,10,24204, От изменения других переменных
320,120,24200,Итого по символам 24201-24204
321,130,24000,Итого по разделу 4
322,30,,Раздел 5. Другие операционные расходы
323,20,,1. Расходы по расчетным (беспоставочным) срочным сделкам
324,10,25101, От изменения ставки процента
325,10,25102, От изменения курса ценной бумаги
326,10,25103, От изменения валютного курса
327,10,25104, От изменения индекса цен
328,10,25105, От изменения других переменных
329,120,25100,Итого по символам 25101-25105
330,20,,2. Комиссионные сборы
331,10,25201, За проведение операций с валютными ценностями
332,10,25202, За расчетно-кассовое обслуживание и ведение банковских счетов
333,10,25203," За услуги по переводам денежных средств, включая услуги платежных и расчетных систем"
334,10,25204, За полученные гарантии и поручительства
335,10,25205, За оказание посреднических услуг по брокерским и аналогичным договорам
336,10,25206, По другим операциям
337,120,25200,Итого по символам 25201-25206
338,20,,3. Другие операционные расходы
339,10,25301, От передачи активов в доверительное управление
340,10,25302," Отчисления в резервы на возможные потери, кроме резервов под условные обязательства некредитного характера"
341,10,25303, Прочие операционные расходы
342,120,25300,Итого по символам 25301-25303
343,130,25000,Итого по разделу 5
344,30,,"Раздел 6. Расходы, связанные с обеспечением деятельности кредитной организации"
345,20,,1. Расходы на содержание персонала
346,10,26101," Расходы на оплату труда, включая премии и компенсации"
347,10,26102," Налоги и сборы в виде начислений на заработную плату, уплачиваемые работодателями в соответствии с законодательством Российской Федерации"
348,10,26103," Расходы, связанные с перемещением персонала (кроме расходов на оплату труда)"
349,10,26104, Другие расходы на содержание персонала
350,120,26100,Итого по символам 26101-26104
351,20,,2. Амортизация
352,10,26201, По основным средствам
353,10,26202," По основным средствам, полученным в финансовую аренду (лизинг)"
354,10,26203, По нематериальным активам
355,120,26200,Итого по символам 26201-26203
356,20,,"3. Расходы, связанные с содержанием (эксплуатацией) имущества и его выбытием"
357,10,26301, Расходы по ремонту основных средств и другого имущества
358,10,26302, Расходы на содержание основных средств и другого имущества (включая коммунальные расходы)
359,10,26303, Арендная плата по арендованным основным средствам и другому имуществу
360,10,26304, Плата за право пользования объектами интеллектуальной собственности
361,10,26305, По списанию стоимости материальных запасов
362,10,26306, По уценке основных средств
363,10,26307, По выбытию (реализации) имущества
364,120,26300,Итого по символам 26301-26307
365,20,,4. Организационные и управленческие расходы
366,10,26401, Подготовка и переподготовка кадров
367,10,26402, Служебные командировки
368,10,26403, Охрана
369,10,26404, Реклама
370,10,26405, Представительские расходы
371,10,26406," Услуги связи, телекоммуникационных и информационных систем"
372,10,26407, Судебные и арбитражные издержки
373,10,26408, Аудит
374,10,26409, Публикация отчетности
375,10,26410, Страхование
376,10,26411," Налоги и сборы, относимые на расходы в соответствии с законодательством Российской Федерации"
377,10,26412, Другие организационные и управленческие расходы
378,120,26400,Итого по символам 26401-26412
379,130,26000,Итого  по  разделу 6
380,140,20002,"Итого по группе расходов Б ""Операционные расходы"" (3-6 разделы)"
381,40,,В. Прочие расходы
382,30,,Раздел 7. Прочие расходы
383,20,,"1. Штрафы, пени, неустойки"
384,10,27101, По операциям привлечения и предоставления (размещения) денежных средств
385,10,27102, По другим банковским операциям и сделкам
386,10,27103, По прочим (хозяйственным) операциям
387,120,27100,Итого по символам 27101-27103
388,20,,"2. Расходы прошлых лет, выявленные в отчетном году"
389,10,27201, По операциям привлечения и  предоставления (размещения) денежных средств
390,10,27202, По другим банковским операциям и сделкам
391,10,27203, По прочим (хозяйственным) операциям
392,120,27200,Итого по символам 27201-27203
